0,1,2,3,4,5,6,7,maxval
24.23,77.6,3.2,64.36,28.39,81.44,3.2,64.4,81.44
53.14,157.32,6.82,119.63,31.74,83.9,3.35,13.92,157.32
105.69,290.69,21.63,195.75,42.86,85,3.42,13.94,290.69
196.49,318.85,108.04,206.48,45.35,85.66,3.32,13.96,318.85
346.71,279.51,183.87,188.88,46.86,86.14,3.29,13.97,346.71
542.77,215.91,267.36,158.47,47.68,86.27,3.28,13.97,542.77
979.66,217.16,511.59,163.63,47.89,86.21,3.27,13.9,979.66
1208.4,214.38,593.85,159.03,48.14,86.28,3.27,13.89,1208.4
25.56,45.05,4.3,53.98,25.55,45.05,4.3,54.13,54.13
46.23,90.23,8.44,107.77,39.61,53.81,5.14,13.66,107.77
104.41,159.68,53.99,173.37,48.46,54.7,4.96,13.72,173.37
205.43,157.39,135.63,178.86,54.79,55.25,4.7,13.75,205.43
343.63,150.85,199.39,164.83,59.73,55.59,4.58,13.75,343.63
497.01,142.59,278.08,147.13,63.55,55.98,4.54,13.77,497.01
815.49,119.63,458.65,126.86,62.67,55.9,4.51,13.76,815.49
848.94,142.14,513.6,148.28,65.63,55.92,4.5,13.67,848.94
73.31,13.45,49.75,52.94,73.14,13.44,49.62,52.94,73.31
128.01,26.52,87.56,87.32,92.26,12.91,42.41,11.65,128.01
194.51,37.7,148.44,122.68,112.05,13.3,47.86,11.91,194.51
300.08,48.32,190.51,142.22,157.78,16.45,59.12,14.58,300.08
218.99,44.07,173.66,132.5,158.54,14.57,60.04,14.46,218.99
214.95,44.92,169.99,111.43,160.18,14.66,61.22,14.54,214.95
217.14,38.08,167.72,92.81,142.01,12.42,50.94,14.56,217.14
221.95,45.78,166.4,113.74,165.38,14.69,61.64,14.53,221.95
73.39,13.45,49.8,52.9,73.46,13.44,49.84,52.91,73.46
126.39,26.52,87.76,87.54,92.48,12.91,42.5,11.64,126.39
194.45,37.71,148.28,122.75,112.2,13.31,47.9,11.91,194.45
305.38,48.7,191.69,143.21,158.03,16.38,59.08,14.55,305.38
219.83,44.46,173.3,132.01,158.65,14.59,60.52,14.51,219.83
214.35,45.16,170.73,111.27,162.94,14.74,61.64,14.6,214.35
217.17,38.08,167.83,92.83,141.84,12.7,61.53,14.6,217.17
221.81,45.86,166.71,112.91,168.6,14.71,61.78,14.58,221.81
93.1529,26.6478,70.445,76.585,93.0196,26.6277,70.2974,76.6754,93.1529
179.615,52.2885,138.034,137.03,146.939,31.8573,106.854,19.5551,179.615
290.271,78.6699,220.971,214.06,194.819,33.6938,110.205,20.1802,290.271
528.624,99.382,405.074,270.497,272.338,39.9176,138.165,23.2393,528.624
696.835,105.564,502.818,268.681,308.795,39.8487,140.018,23.0856,696.835
567.847,104.163,482.64,299.894,322.733,35.5626,145.582,23.4232,567.847
504.647713,94.9641,365.702183,286.198,304.636,34.0089,128.761,20.701,504.647713
523.667673,107.556,367.721914,300.918,353.253,38.332,139.876,22.5706,523.667673
93.1529,26.6151,70.141,76.7659,93.2865,26.626,70.2167,76.585,93.2865
179.391,52.2885,137.911,136.886,146.618,31.8495,107.295,19.5404,179.391
290.271,78.5274,221.724,214.413,195.257,33.6895,110.439,20.1787,290.271
529.161,99.3251,405.429,270.92,272.338,39.9145,138.416,23.2455,529.161
694.988,105.585,501.606,268.127,309.438,39.8869,140.055,23.0821,694.988
568.487,104.231,483.313,299.937,322.635,35.4433,144.521,23.3229,568.487
503.914376,94.9221,365.895107,286.988,304.19,34.0144,131.107,20.7092,503.914376
523.766513,108.281,367.640672,300.891,353.253,38.6094,138.711,22.5558,523.766513
70.5979,131.192,32.2432,99.706,70.5979,131.458,32.2593,99.4001,131.458
110.032,234.39,65.7624,180.025,76.6516,158.457,34.7501,19.6064,234.39
191.318,361.556,147.46,281.472,115.575,169.657,36.4453,19.8026,361.556
388.077,386.342,266.978,357.074,154.721,184.772,32.6,21.1285,388.077
616.86,384.908,517.436,358.928,205.376,185.932,26.4405,21.0192,616.86
